type,alphaID,numID,size,mode,description
IPID,CONV,0x1000500A,,,2 extern input memories 1 extern output memory convolutioner
CFG,MMemX,0b00000,32,W,Input Memory X
CFG,MMemY,0b00010,32,W,Input Memory Y
CFG,MMemOut,0b00100,64,R,Output Memory
CFG,AMemX,0b00001,1,W,Set Write Address Pointer of MMemX
CFG,AMemY,0b00011,1,W,Set Write Address Pointer of MMemY
CFG,AMemOut,0b00101,1,W,Set Read Address Pointer of MMemOut
CFG,CConfReg,0b00110,1,W,Cofiguration Register
CFG,AConfReg,0b00111,1,W,Set Write Address of CConfReg
CFG,STATUS,0b11110,1,B,IP status register
CFG,IPID,0b11111,1,R,IP ID
